index,rank,word,frequency,percentile,distance,probability,distance_probability
0,100,"foisting",6,-0.5000,-0.303363,0.00028888,-0.31229717
1,99,"ophthalmologist",6,0.5000,-0.303363,0.00028888,-0.31229717
2,98,"ivers",7,1.5000,-0.301859,0.00033702,-0.31228213
3,97,"ararat",7,2.5000,-0.301859,0.00033702,-0.31228213
4,96,"blocker",7,3.5000,-0.301859,0.00033702,-0.31228213
5,95,"eventuality",7,4.5000,-0.301859,0.00033702,-0.31228213
6,94,"procreate",7,5.5000,-0.301859,0.00033702,-0.31228213
7,93,"carcinoma",7,6.5000,-0.301859,0.00033702,-0.31228213
8,92,"hibernation",7,7.5000,-0.301859,0.00033702,-0.31228213
9,91,"akimbo",7,8.5000,-0.301859,0.00033702,-0.31228213
10,90,"surname",7,9.5000,-0.301859,0.00033702,-0.31228213
11,89,"vaporized",8,10.5000,-0.300355,0.00038517,-0.31226709
12,88,"aguilera",8,11.5000,-0.300355,0.00038517,-0.31226709
13,87,"sweatshops",8,12.5000,-0.300355,0.00038517,-0.31226709
14,86,"feign",8,13.5000,-0.300355,0.00038517,-0.31226709
15,85,"intimated",9,14.5000,-0.298851,0.00043332,-0.31225205
16,84,"speller",9,15.5000,-0.298851,0.00043332,-0.31225205
17,83,"thar",9,16.5000,-0.298851,0.00043332,-0.31225205
18,82,"unbind",10,17.5000,-0.297347,0.00048146,-0.31223701
19,81,"playmates",10,18.5000,-0.297347,0.00048146,-0.31223701
20,80,"nonfat",10,19.5000,-0.297347,0.00048146,-0.31223701
21,79,"bombard",10,20.5000,-0.297347,0.00048146,-0.31223701
22,78,"siphon",10,21.5000,-0.297347,0.00048146,-0.31223701
23,77,"prides",10,22.5000,-0.297347,0.00048146,-0.31223701
24,76,"dominatrix",11,23.5000,-0.295843,0.00052961,-0.31222197
25,75,"embodies",11,24.5000,-0.295843,0.00052961,-0.31222197
26,74,"sonia",11,25.5000,-0.295843,0.00052961,-0.31222197
27,73,"poindexter",12,26.5000,-0.294339,0.00057776,-0.31220693
28,72,"reneging",12,27.5000,-0.294339,0.00057776,-0.31220693
29,71,"baptize",12,28.5000,-0.294339,0.00057776,-0.31220693
30,70,"spectre",12,29.5000,-0.294339,0.00057776,-0.31220693
31,69,"parliamentary",12,30.5000,-0.294339,0.00057776,-0.31220693
32,68,"pitting",13,31.5000,-0.292835,0.00062590,-0.31219189
33,67,"ecological",13,32.5000,-0.292835,0.00062590,-0.31219189
34,66,"prohibition",14,33.5000,-0.291331,0.00067405,-0.31217685
35,65,"extensions",14,34.5000,-0.291331,0.00067405,-0.31217685
36,64,"tropic",14,35.5000,-0.291331,0.00067405,-0.31217685
37,63,"hypo",14,36.5000,-0.291331,0.00067405,-0.31217685
38,62,"bambino",14,37.5000,-0.291331,0.00067405,-0.31217685
39,61,"smorgasbord",14,38.5000,-0.291331,0.00067405,-0.31217685
40,60,"bunking",14,39.5000,-0.291331,0.00067405,-0.31217685
41,59,"amputate",14,40.5000,-0.291331,0.00067405,-0.31217685
42,58,"rectory",15,41.5000,-0.289827,0.00072220,-0.31216181
