index,rank,word,frequency,percentile,distance,probability,distance_probability
0,6900,"anthropoid",0,-0.0072,-5.542729,0.00003659,-7.39621820
1,6899,"broadtail",0,0.0072,-5.542729,0.00003659,-7.39621820
2,6898,"deafened",0,0.0217,-5.542729,0.00003659,-7.39621820
3,6897,"benthos",0,0.0362,-5.453576,0.00003834,-7.39532667
4,6896,"okapi",0,0.0507,-5.364423,0.00004008,-7.39443514
5,6895,"picador",0,0.0652,-5.364423,0.00004008,-7.39443514
6,6894,"anhydride",0,0.0797,-5.364423,0.00004008,-7.39443514
7,6893,"jackscrew",0,0.0942,-5.275270,0.00004182,-7.39354361
8,6892,"halloo",0,0.1087,-5.007811,0.00004705,-7.39086902
9,6891,"perianth",0,0.1232,-4.918658,0.00004879,-7.38997749
10,6890,"leukaemia",0,0.1377,-4.918658,0.00004879,-7.38997749
11,6889,"multiprocessor",0,0.1522,-4.918658,0.00004879,-7.38997749
12,6888,"preclusion",0,0.1667,-4.740352,0.00005228,-7.38819444
13,6887,"orthosis",0,0.1812,-4.651199,0.00005402,-7.38730291
14,6886,"compacting",0,0.1957,-4.651199,0.00005402,-7.38730291
15,6885,"demonstrability",0,0.2101,-4.651199,0.00005402,-7.38730291
16,6884,"metaleptic",0,0.2246,-4.562046,0.00005576,-7.38641138
17,6883,"adverbial",0,0.2391,-4.562046,0.00005576,-7.38641138
18,6882,"oysterman",0,0.2536,-4.562046,0.00005576,-7.38641138
19,6881,"destructor",0,0.2681,-4.562046,0.00005576,-7.38641138
20,6880,"stative",0,0.2826,-4.472893,0.00005750,-7.38551985
21,6879,"berried",0,0.2971,-4.472893,0.00005750,-7.38551985
22,6878,"timeshare",0,0.3116,-4.472893,0.00005750,-7.38551985
23,6877,"peroneal",0,0.3261,-4.383740,0.00005925,-7.38462832
24,6876,"heterojunction",0,0.3406,-4.383740,0.00005925,-7.38462832
25,6875,"graywater",0,0.3551,-4.383740,0.00005925,-7.38462832
26,6874,"implicature",0,0.3696,-4.383740,0.00005925,-7.38462832
27,6873,"niobium",0,0.3841,-4.294587,0.00006099,-7.38373679
28,6872,"agentry",0,0.3986,-4.294587,0.00006099,-7.38373679
29,6871,"inspiratory",0,0.4130,-4.294587,0.00006099,-7.38373679
30,6870,"hypercar",0,0.4275,-4.294587,0.00006099,-7.38373679
31,6869,"anorectal",0,0.4420,-4.294587,0.00006099,-7.38373679
32,6868,"scotoma",0,0.4565,-4.294587,0.00006099,-7.38373679
33,6867,"patrilateral",0,0.4710,-4.294587,0.00006099,-7.38373679
34,6866,"accentual",0,0.4855,-4.205435,0.00006273,-7.38284526
35,6865,"syndicalist",0,0.5000,-4.205435,0.00006273,-7.38284526
36,6864,"loquat",0,0.5145,-4.205435,0.00006273,-7.38284526
37,6863,"debilitative",0,0.5290,-4.116282,0.00006447,-7.38195373
38,6862,"holloware",0,0.5435,-4.116282,0.00006447,-7.38195373
39,6861,"denormalized",0,0.5580,-4.116282,0.00006447,-7.38195373
40,6860,"contador",0,0.5725,-4.116282,0.00006447,-7.38195373
41,6859,"telescreen",0,0.5870,-4.116282,0.00006447,-7.38195373
42,6858,"corporative",0,0.6014,-4.027129,0.00006622,-7.38106220
43,6857,"lionfish",0,0.6159,-4.027129,0.00006622,-7.38106220
44,6856,"nuclide",0,0.6304,-4.027129,0.00006622,-7.38106220
45,6855,"restorationist",0,0.6449,-4.027129,0.00006622,-7.38106220
46,6854,"goniometric",0,0.6594,-4.027129,0.00006622,-7.38106220
47,6853,"packinghouse",0,0.6739,-4.027129,0.00006622,-7.38106220
48,6852,"bibliographer",0,0.6884,-4.027129,0.00006622,-7.38106220
49,6851,"colectomy",0,0.7029,-4.027129,0.00006622,-7.38106220
50,6850,"architected",0,0.7174,-3.937976,0.00006796,-7.38017067
51,6849,"propolis",0,0.7319,-3.937976,0.00006796,-7.38017067
52,6848,"bazar",0,0.7464,-3.937976,0.00006796,-7.38017067
53,6847,"magnetar",0,0.7609,-3.937976,0.00006796,-7.38017067
54,6846,"checkable",0,0.7754,-3.937976,0.00006796,-7.38017067
55,6845,"teff",0,0.7899,-3.937976,0.00006796,-7.38017067
56,6844,"myasthenia",0,0.8043,-3.937976,0.00006796,-7.38017067
57,6843,"gasbag",0,0.8188,-3.937976,0.00006796,-7.38017067
58,6842,"impeachable",0,0.8333,-3.937976,0.00006796,-7.38017067
59,6841,"lingcod",0,0.8478,-3.848823,0.00006970,-7.37927914
60,6840,"pleural",0,0.8623,-3.848823,0.00006970,-7.37927914
61,6839,"diplomate",0,0.8768,-3.759670,0.00007144,-7.37838761
62,6838,"condensate",0,0.8913,-3.759670,0.00007144,-7.37838761
63,6837,"tutee",0,0.9058,-3.759670,0.00007144,-7.37838761
64,6836,"attender",0,0.9203,-3.759670,0.00007144,-7.37838761
65,6835,"nosphere",0,0.9348,-3.759670,0.00007144,-7.37838761
66,6834,"Parthian",0,0.9493,-3.670517,0.00007319,-7.37749608
67,6833,"cowpox",0,0.9638,-3.670517,0.00007319,-7.37749608
68,6832,"postnational",0,0.9783,-3.670517,0.00007319,-7.37749608
69,6831,"nonsterile",0,0.9928,-3.670517,0.00007319,-7.37749608
70,6830,"nonvolatile",0,1.0072,-3.670517,0.00007319,-7.37749608
71,6829,"hemodialysis",0,1.0217,-3.670517,0.00007319,-7.37749608
72,6828,"relator",0,1.0362,-3.581364,0.00007493,-7.37660455
73,6827,"triangulated",0,1.0507,-3.581364,0.00007493,-7.37660455
74,6826,"ethnicization",0,1.0652,-3.581364,0.00007493,-7.37660455
75,6825,"reishi",0,1.0797,-3.581364,0.00007493,-7.37660455
76,6824,"griffon",0,1.0942,-3.581364,0.00007493,-7.37660455
77,6823,"innervation",0,1.1087,-3.581364,0.00007493,-7.37660455
78,6822,"rootworm",0,1.1232,-3.581364,0.00007493,-7.37660455
79,6821,"methylmercury",0,1.1377,-3.581364,0.00007493,-7.37660455
80,6820,"Atlantean",0,1.1522,-3.581364,0.00007493,-7.37660455
81,6819,"vocab",0,1.1667,-3.581364,0.00007493,-7.37660455
82,6818,"serostatus",0,1.1812,-3.581364,0.00007493,-7.37660455
83,6817,"carabinero",0,1.1957,-3.581364,0.00007493,-7.37660455
84,6816,"Iroquoian",0,1.2101,-3.492211,0.00007667,-7.37571302
85,6815,"nonworker",0,1.2246,-3.492211,0.00007667,-7.37571302
86,6814,"interphone",0,1.2391,-3.492211,0.00007667,-7.37571302
87,6813,"tremolite",0,1.2536,-3.492211,0.00007667,-7.37571302
88,6812,"peritonsillar",0,1.2681,-3.403058,0.00007841,-7.37482149
89,6811,"demoiselle",0,1.2826,-3.403058,0.00007841,-7.37482149
90,6810,"perjurious",0,1.2971,-3.403058,0.00007841,-7.37482149
91,6809,"splenectomy",0,1.3116,-3.403058,0.00007841,-7.37482149
92,6808,"crus",0,1.3261,-3.403058,0.00007841,-7.37482149
93,6807,"medicament",0,1.3406,-3.403058,0.00007841,-7.37482149
94,6806,"esophagitis",0,1.3551,-3.403058,0.00007841,-7.37482149
95,6805,"krait",0,1.3696,-3.313905,0.00008016,-7.37392997
96,6804,"chitin",0,1.3841,-3.313905,0.00008016,-7.37392997
97,6803,"hyperparathyroidism",0,1.3986,-3.313905,0.00008016,-7.37392997
98,6802,"subarachnoid",0,1.4130,-3.313905,0.00008016,-7.37392997
99,6801,"baptistery",0,1.4275,-3.313905,0.00008016,-7.37392997
100,6800,"abstinent",0,1.4420,-3.313905,0.00008016,-7.37392997
101,6799,"phage",0,1.4565,-3.313905,0.00008016,-7.37392997
102,6798,"haredi",0,1.4710,-3.313905,0.00008016,-7.37392997
103,6797,"princedom",0,1.4855,-3.313905,0.00008016,-7.37392997
104,6796,"skald",0,1.5000,-3.313905,0.00008016,-7.37392997
105,6795,"faecal",0,1.5145,-3.313905,0.00008016,-7.37392997
106,6794,"synesthetic",0,1.5290,-3.313905,0.00008016,-7.37392997
107,6793,"orthomolecular",0,1.5435,-3.224752,0.00008190,-7.37303844
108,6792,"dysphonia",0,1.5580,-3.224752,0.00008190,-7.37303844
109,6791,"patristics",0,1.5725,-3.224752,0.00008190,-7.37303844
110,6790,"cyanobacterial",0,1.5870,-3.224752,0.00008190,-7.37303844
111,6789,"yawl",0,1.6014,-3.224752,0.00008190,-7.37303844
112,6788,"vasoconstrictor",0,1.6159,-3.224752,0.00008190,-7.37303844
113,6787,"kopje",0,1.6304,-3.224752,0.00008190,-7.37303844
114,6786,"melaleuca",0,1.6449,-3.224752,0.00008190,-7.37303844
115,6785,"tonsillectomy",0,1.6594,-3.224752,0.00008190,-7.37303844
116,6784,"recrudescence",0,1.6739,-3.224752,0.00008190,-7.37303844
117,6783,"datastream",0,1.6884,-3.224752,0.00008190,-7.37303844
118,6782,"Ashkenazic",0,1.7029,-3.224752,0.00008190,-7.37303844
119,6781,"mucociliary",0,1.7174,-3.224752,0.00008190,-7.37303844
120,6780,"clathrate",0,1.7319,-3.135599,0.00008364,-7.37214691
121,6779,"braillewriter",0,1.7464,-3.135599,0.00008364,-7.37214691
122,6778,"abstinent",0,1.7609,-3.135599,0.00008364,-7.37214691
123,6777,"internode",0,1.7754,-3.135599,0.00008364,-7.37214691
124,6776,"translocal",0,1.7899,-3.135599,0.00008364,-7.37214691
125,6775,"uncaused",0,1.8043,-3.135599,0.00008364,-7.37214691
126,6774,"onchocerciasis",0,1.8188,-3.135599,0.00008364,-7.37214691
127,6773,"fireback",0,1.8333,-3.135599,0.00008364,-7.37214691
128,6772,"madrassah",0,1.8478,-3.135599,0.00008364,-7.37214691
129,6771,"dimer",0,1.8623,-3.135599,0.00008364,-7.37214691
130,6770,"Moravian",0,1.8768,-3.135599,0.00008364,-7.37214691
131,6769,"precordial",0,1.8913,-3.135599,0.00008364,-7.37214691
132,6768,"dybbuk",0,1.9058,-3.135599,0.00008364,-7.37214691
133,6767,"albinism",0,1.9203,-3.135599,0.00008364,-7.37214691
134,6766,"guideway",0,1.9348,-3.135599,0.00008364,-7.37214691
135,6765,"hypomania",0,1.9493,-3.135599,0.00008364,-7.37214691
136,6764,"fermionic",0,1.9638,-3.135599,0.00008364,-7.37214691
137,6763,"uniformitarian",0,1.9783,-3.135599,0.00008364,-7.37214691
138,6762,"acequia",0,1.9928,-3.046446,0.00008538,-7.37125538
139,6761,"incisional",0,2.0072,-3.046446,0.00008538,-7.37125538
140,6760,"endolymphatic",0,2.0217,-3.046446,0.00008538,-7.37125538
141,6759,"lepton",0,2.0362,-3.046446,0.00008538,-7.37125538
142,6758,"micromachine",0,2.0507,-3.046446,0.00008538,-7.37125538
143,6757,"lifesuit",0,2.0652,-3.046446,0.00008538,-7.37125538
144,6756,"onanism",0,2.0797,-3.046446,0.00008538,-7.37125538
145,6755,"scaffolded",0,2.0942,-3.046446,0.00008538,-7.37125538
146,6754,"guilloche",0,2.1087,-3.046446,0.00008538,-7.37125538
147,6753,"curandero",0,2.1232,-2.957293,0.00008713,-7.37036385
148,6752,"enjambment",0,2.1377,-2.957293,0.00008713,-7.37036385
149,6751,"uvula",0,2.1522,-2.957293,0.00008713,-7.37036385
150,6750,"pastorale",0,2.1667,-2.957293,0.00008713,-7.37036385
151,6749,"childe",0,2.1812,-2.957293,0.00008713,-7.37036385
152,6748,"transfrontier",0,2.1957,-2.957293,0.00008713,-7.37036385
153,6747,"ultraportable",0,2.2101,-2.957293,0.00008713,-7.37036385
154,6746,"mastic",0,2.2246,-2.957293,0.00008713,-7.37036385
155,6745,"provenience",0,2.2391,-2.868140,0.00008887,-7.36947232
156,6744,"headnote",0,2.2536,-2.868140,0.00008887,-7.36947232
157,6743,"interdict",0,2.2681,-2.868140,0.00008887,-7.36947232
158,6742,"subjunctive",0,2.2826,-2.868140,0.00008887,-7.36947232
159,6741,"intramuscular",0,2.2971,-2.868140,0.00008887,-7.36947232
160,6740,"pyrolysis",0,2.3116,-2.868140,0.00008887,-7.36947232
161,6739,"intercostal",0,2.3261,-2.868140,0.00008887,-7.36947232
162,6738,"nonordinary",0,2.3406,-2.868140,0.00008887,-7.36947232
163,6737,"decolonized",0,2.3551,-2.868140,0.00008887,-7.36947232
164,6736,"mochi",0,2.3696,-2.778988,0.00009061,-7.36858079
165,6735,"microswitch",0,2.3841,-2.778988,0.00009061,-7.36858079
166,6734,"Tahitian",0,2.3986,-2.778988,0.00009061,-7.36858079
167,6733,"squeezebox",0,2.4130,-2.778988,0.00009061,-7.36858079
168,6732,"interiorly",0,2.4275,-2.778988,0.00009061,-7.36858079
169,6731,"eosinophilia",0,2.4420,-2.778988,0.00009061,-7.36858079
170,6730,"mycobacterial",0,2.4565,-2.778988,0.00009061,-7.36858079
171,6729,"evaluable",0,2.4710,-2.778988,0.00009061,-7.36858079
172,6728,"Heian",0,2.4855,-2.689835,0.00009235,-7.36768926
173,6727,"braising",0,2.5000,-2.689835,0.00009235,-7.36768926
174,6726,"mainstreaming",0,2.5145,-2.689835,0.00009235,-7.36768926
175,6725,"pseudopod",0,2.5290,-2.689835,0.00009235,-7.36768926
176,6724,"tyrannosaur",0,2.5435,-2.689835,0.00009235,-7.36768926
177,6723,"tunica",0,2.5580,-2.689835,0.00009235,-7.36768926
178,6722,"nucleon",0,2.5725,-2.689835,0.00009235,-7.36768926
179,6721,"transported",0,2.5870,-2.689835,0.00009235,-7.36768926
180,6720,"inducer",0,2.6014,-2.689835,0.00009235,-7.36768926
181,6719,"endomorph",0,2.6159,-2.689835,0.00009235,-7.36768926
182,6718,"doppler",0,2.6304,-2.689835,0.00009235,-7.36768926
183,6717,"behavioralist",0,2.6449,-2.689835,0.00009235,-7.36768926
184,6716,"millenarian",0,2.6594,-2.689835,0.00009235,-7.36768926
185,6715,"whitefly",0,2.6739,-2.689835,0.00009235,-7.36768926
186,6714,"phylactery",0,2.6884,-2.689835,0.00009235,-7.36768926
187,6713,"redistributional",0,2.7029,-2.689835,0.00009235,-7.36768926
188,6712,"nutraceutical",0,2.7174,-2.689835,0.00009235,-7.36768926
189,6711,"sauropod",0,2.7319,-2.600682,0.00009410,-7.36679773
190,6710,"discussant",0,2.7464,-2.600682,0.00009410,-7.36679773
